Unnamed: 0,Records,class_s,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,image_name,folder,class
0,ud1_11:43,u,417.32,512.69,857.61,480.97,510.68,610.51,323.84,411.76,679.5,338.28,701.74,653.83,1933.91,2201.59,2225.5,2375.3,1037.52,687.4,IMG_20250301_114507.jpg,ad1//u,u
1,ud1_11:54,u,89.24,95.52,144.93,86.19,102.45,99.1,71.09,97.65,113.25,52.6,131.76,118.8,394.77,504.55,667.05,651.24,239.76,127.6,IMG_20250301_115341.jpg,ad1//u,u
2,ud1_11:56,u,115.59,137.43,198.91,115.84,136.34,140.71,81.09,111.25,136.13,59.87,134.76,118.38,506.0,633.33,640.4,720.02,274.36,167.4,IMG_20250301_115705.jpg,ad1//u,u
3,ud1_12:00,u,1070.08,1686.23,2807.71,768.26,1004.01,907.07,909.91,1505.08,1134.78,1469.85,1739.88,879.3,4066.77,4191.25,4162.17,4462.14,1876.06,1281.4,IMG_20250301_120034.jpg,ad1//u,u
4,ud1_12:12,u,502.31,498.07,537.75,618.13,640.71,479.64,436.52,582.91,1205.7,545.69,469.16,387.78,1857.93,1266.67,2044.98,1930.41,486.32,382.1,IMG_20250301_121320.jpg,ad1//u,u
5,ud1_12:121,u,979.13,1253.46,1945.11,1356.73,1745.6,2001.0,1203.2,1490.49,2849.53,1138.42,3047.54,1915.47,4550.83,4910.98,5690.53,6088.57,2224.58,1343.4,IMG_20250301_121808.jpg,ad1//u,u
6,ud1_12:122,u,1240.06,1335.34,1653.24,1885.89,1794.46,1629.55,1125.8,1757.27,3847.04,1712.76,2473.57,1600.9,5013.75,4179.02,5614.02,5140.0,1908.19,1317.5,IMG_20250301_121924.jpg,ad1//u,u
7,ud1_12:24,u,1234.11,1567.32,2354.92,1747.8,2077.38,2395.15,1473.33,1738.65,2941.05,1252.18,2777.02,2203.28,6600.67,7316.34,7995.11,7837.04,2947.57,1610.8,IMG_20250301_122525.jpg,ad1//u,u
8,ud1_14:24,u,771.75,1405.52,1815.17,1138.02,1340.52,1631.82,876.21,1084.77,1906.93,821.1,1498.32,1023.62,3336.76,3175.63,3331.8,3089.77,1014.66,678.2,IMG_20250301_142812.jpg,ad1//u,u
